count,mean,pct100,pct25,pct50,pct75,time,zoneIds
0,,,,0.0,,2019-10-05,[36520]
4,1.06,2.65,0.56,0.72,1.23,2019-10-06,[36520]
0,,,,0.0,,2019-10-07,[36520]
4,16.57,63.7,0.68,1.15,17.04,2019-10-08,[36520]
0,,,,0.0,,2019-10-09,[36520]
4,2.12,6.29,0.44,0.98,2.68,2019-10-10,[36520]
0,,,,0.0,,2019-10-11,[36520]
0,,,,0.0,,2019-10-12,[36520]
1,0.31,0.31,0.31,0.31,0.31,2019-10-13,[36520]
0,,,,0.0,,2019-10-14,[36520]
2,0.84,1.57,0.47,0.84,1.2,2019-10-15,[36520]
0,,,,0.0,,2019-10-16,[36520]
1,8.59,8.59,8.59,8.59,8.59,2019-10-17,[36520]
2,2.44,3.86,1.74,2.44,3.15,2019-10-18,[36520]
0,,,,0.0,,2019-10-19,[36520]
0,,,,0.0,,2019-10-20,[36520]
1,0.05,0.05,0.05,0.05,0.05,2019-10-21,[36520]
3,5.81,16.5,0.46,0.57,8.54,2019-10-22,[36520]
3,2.56,3.96,1.86,2.69,3.32,2019-10-23,[36520]
0,,,,0.0,,2019-10-24,[36520]
14,12.56,57.49,2.85,5.2,11.0,2019-10-25,[36520]
0,,,,0.0,,2019-10-26,[36520]
0,,,,0.0,,2019-10-27,[36520]
0,,,,0.0,,2019-10-28,[36520]
7,2.21,4.7,0.91,1.18,3.66,2019-10-29,[36520]
0,,,,0.0,,2019-10-30,[36520]
3,0.62,1.33,0.26,0.4,0.86,2019-10-31,[36520]
1,0.31,0.31,0.31,0.31,0.31,2019-11-01,[36520]
0,,,,0.0,,2019-11-02,[36520]
0,,,,0.0,,2019-11-03,[36520]
0,,,,0.0,,2019-11-04,[36520]
0,,,,0.0,,2019-11-05,[36520]
0,,,,0.0,,2019-11-06,[36520]
0,,,,0.0,,2019-11-07,[36520]
0,,,,0.0,,2019-11-08,[36520]
0,,,,0.0,,2019-11-09,[36520]
0,,,,0.0,,2019-11-10,[36520]
0,,,,0.0,,2019-11-11,[36520]
0,,,,0.0,,2019-11-12,[36520]
0,,,,0.0,,2019-11-13,[36520]
0,,,,0.0,,2019-11-14,[36520]
0,,,,0.0,,2019-11-15,[36520]
0,,,,0.0,,2019-11-16,[36520]
0,,,,0.0,,2019-11-17,[36520]
0,,,,0.0,,2019-11-18,[36520]
0,,,,0.0,,2019-11-19,[36520]
0,,,,0.0,,2019-11-20,[36520]
0,,,,0.0,,2019-11-21,[36520]
1,9.26,9.26,9.26,9.26,9.26,2019-11-22,[36520]
0,,,,0.0,,2019-11-23,[36520]
0,,,,0.0,,2019-11-24,[36520]
0,,,,0.0,,2019-11-25,[36520]
6,1.8,3.42,1.14,1.54,2.22,2019-11-26,[36520]
0,,,,0.0,,2019-11-27,[36520]
2,6.32,12.47,3.25,6.32,9.4,2019-11-28,[36520]
2,5.34,7.34,4.33,5.34,6.34,2019-11-29,[36520]
0,,,,0.0,,2019-11-30,[36520]
6,0.78,3.48,0.18,0.24,0.33,2019-12-01,[36520]
0,,,,0.0,,2019-12-02,[36520]
0,,,,0.0,,2019-12-03,[36520]
0,,,,0.0,,2019-12-04,[36520]
